feature,horizon,overall_ic,sign_ratio,flip_rate,mean_run_length,mean_ic,std_ic,min_ic,max_ic,icir,ic_low_momentum,ic_high_momentum,ic_low_vol,ic_high_vol
volume_ratio_20,20,0.04890,0.75367,0.04575,21.89286,0.07174,0.06855,-0.03743,0.18956,1.04660,0.07020,0.08170,0.02731,0.08250
volume_zscore_20,1,0.03019,0.63766,0.02536,39.50000,0.02630,0.06087,-0.08931,0.19224,0.43205,-0.00166,-0.03550,0.04661,0.00652
volume_zscore_20,3,0.00737,0.59841,0.03021,33.15789,-0.00423,0.04548,-0.09001,0.09187,-0.09303,-0.06871,0.03269,0.02516,0.01261
volume_zscore_20,5,-0.01554,0.58280,0.00797,125.60000,-0.01647,0.05423,-0.12472,0.09201,-0.30372,0.02093,-0.02935,0.00933,-0.01774
volume_zscore_20,10,0.00629,0.85393,0.01768,56.63636,0.03644,0.04084,-0.06462,0.11727,0.89236,0.01202,0.05415,-0.00636,0.02246
volume_zscore_20,20,0.04627,0.68842,0.05556,18.02941,0.06377,0.06701,-0.04474,0.17380,0.95154,0.06639,0.07356,0.02859,0.07794
vol_60,1,0.01691,0.82120,0.03962,25.28000,0.05351,0.04358,-0.04100,0.13427,1.22792,0.00565,0.02283,-0.03609,0.00581
vol_60,3,0.01478,0.80952,0.03975,25.20000,0.04912,0.04263,-0.04615,0.12238,1.15235,0.01665,-0.00396,-0.04736,0.01200
vol_60,5,0.01744,0.79618,0.03349,29.90476,0.04971,0.04478,-0.04837,0.12549,1.11010,0.00401,0.00788,-0.09079,-0.01339
vol_60,10,0.00030,0.76244,0.01286,77.87500,0.03141,0.04184,-0.06736,0.12009,0.75057,0.00065,-0.01865,-0.07448,-0.04938
vol_60,20,-0.00079,0.74388,0.01634,61.30000,0.02007,0.04213,-0.08057,0.10073,0.47625,0.00682,-0.04339,-0.04839,0.03430
volume_ratio_60,1,0.02997,0.81013,0.01268,79.00000,0.04344,0.05054,-0.08470,0.14748,0.85954,0.01806,-0.04087,-0.00171,0.05634
volume_ratio_60,3,0.01793,0.52063,0.03975,25.20000,0.01084,0.04212,-0.05678,0.10341,0.25735,-0.07007,0.04052,0.00236,0.04427
volume_ratio_60,5,-0.00407,0.55892,0.02392,41.86667,0.00988,0.03968,-0.07991,0.09758,0.24895,0.03772,-0.01874,-0.01563,0.03277
volume_ratio_60,10,0.01322,0.88443,0.01125,89.00000,0.05445,0.03753,-0.03973,0.13881,1.45082,0.02226,0.08855,-0.03379,0.06375
volume_ratio_60,20,0.03712,0.81729,0.03595,27.86364,0.06864,0.06083,-0.03213,0.18267,1.12835,0.03221,0.09566,0.00226,0.07823
volume_zscore_60,1,0.02575,0.77532,0.02536,39.50000,0.04031,0.04785,-0.05905,0.16405,0.84244,0.00748,-0.03915,0.00158,0.04679
volume_zscore_60,3,0.01896,0.51270,0.02703,37.05882,0.01009,0.04748,-0.06493,0.12436,0.21247,-0.07034,0.04399,0.00686,0.04118
volume_zscore_60,5,-0.00638,0.55732,0.01435,69.77778,0.00694,0.04008,-0.09188,0.09525,0.17313,0.03378,-0.01937,-0.00889,0.01861
volume_zscore_60,10,0.00768,0.87480,0.01447,69.22222,0.04818,0.03796,-0.05438,0.13060,1.26922,0.03287,0.05420,-0.04086,0.05961
volume_zscore_60,20,0.03640,0.80914,0.04575,21.89286,0.06620,0.06191,-0.04791,0.17182,1.06937,0.03424,0.08995,0.00228,0.08216
vol_120,1,0.01562,0.78323,0.02219,45.14286,0.03800,0.05319,-0.07787,0.12496,0.71434,0.02832,-0.01218,0.00017,-0.00826
vol_120,3,0.01571,0.79365,0.00954,105.00000,0.03974,0.05230,-0.07757,0.13009,0.75975,0.02538,-0.01791,0.01543,-0.02330
vol_120,5,0.01471,0.78981,0.01276,78.50000,0.03997,0.05433,-0.08265,0.13531,0.73577,0.01139,-0.00509,-0.02825,-0.06105
vol_120,10,0.00431,0.64045,0.04823,20.76667,0.02222,0.05015,-0.07477,0.12240,0.44311,0.01228,-0.01989,-0.05693,-0.04662
vol_120,20,0.00440,0.55628,0.01307,76.62500,0.01349,0.04768,-0.07563,0.09641,0.28281,0.01674,-0.02785,0.00031,0.03245
volume_ratio_120,1,0.03218,0.87184,0.03170,31.60000,0.06054,0.04745,-0.04766,0.16434,1.27585,0.01903,-0.01136,0.00575,0.05928
volume_ratio_120,3,0.02982,0.74444,0.02385,42.00000,0.03430,0.04578,-0.04579,0.13245,0.74907,-0.06939,0.08056,-0.00340,0.06295
volume_ratio_120,5,0.00017,0.68949,0.03828,26.16667,0.02133,0.04050,-0.07645,0.10621,0.52672,0.01722,0.00200,-0.03848,0.03570
volume_ratio_120,10,0.02779,0.96308,0.00322,311.50000,0.08099,0.04415,-0.02543,0.18426,1.83455,0.02509,0.11899,-0.02880,0.07112
volume_ratio_120,20,0.04032,0.93475,0.03268,30.65000,0.07698,0.05163,-0.01953,0.17080,1.49103,0.03450,0.09032,-0.01069,0.08783
volume_zscore_120,1,0.03128,0.93671,0.02694,37.17647,0.05958,0.04128,-0.02531,0.16928,1.44345,0.00931,-0.00479,0.00948,0.05382
volume_zscore_120,3,0.03528,0.75873,0.01431,70.00000,0.04080,0.05012,-0.04830,0.14867,0.81407,-0.06467,0.09522,0.01248,0.06610
volume_zscore_120,5,-0.00166,0.67675,0.03828,26.16667,0.02052,0.04207,-0.08570,0.11446,0.48773,0.01364,0.00439,-0.03111,0.02757
volume_zscore_120,10,0.01784,0.94703,0.00804,124.60000,0.07294,0.04462,-0.03675,0.18781,1.63451,0.02175,0.08350,-0.04397,0.06986
volume_zscore_120,20,0.03793,0.89560,0.01961,51.08333,0.07615,0.05418,-0.02968,0.16862,1.40562,0.02957,0.09093,-0.01428,0.09592
