Date,Close,High,Low,Open,Volume,ret_1,ret_3,ema_3,ret_5,ema_5,ret_10,ema_10,ret_15,ema_15,ret_20,ema_20,price_ma20_ratio,vol_20,volume_ratio_20,volume_zscore_20,vol_60,volume_ratio_60,volume_zscore_60,vol_120,volume_ratio_120,volume_zscore_120
2000-06-23,91.1446762084961,92.24946016253847,90.82902365019827,92.05217731360233,4863300,-0.008583194840273922,-0.024080705846947215,91.89087527695517,-0.015134827390569372,92.24710269764435,-0.012816389615467827,92.39631818871167,-0.02116305658606943,92.21491824530311,0.04984805717057661,92.00001701791986,0.9903624831979411,0.011946770852817508,0.8464920525513294,-0.5489388566656368,0.016514368280274732,0.5747644001333115,-0.7765770364194906,0.016937999906867868,0.5443578683150488,-0.9602260050512053
2000-06-26,92.31847381591797,92.32833795458833,91.46029375159648,91.77594618904807,5201300,0.012878400102456666,-0.011094529058678027,92.10467454643657,-0.015049505691945853,92.27089307040222,0.011759634941438835,92.38216466638555,-0.003713155486430586,92.22786269162997,0.06216374978428196,92.03034623677682,1.000180837129607,0.012162655979575419,0.9022821164676504,-0.3527009718765163,0.0164663035583666,0.619950011144392,-0.685690252075877,0.016587436225565442,0.5837636422984438,-0.8721410397435126
2000-06-27,91.63788604736328,92.62430032128539,91.54910876271029,92.160685612542,4159500,-0.0073721730919400486,-0.003218355739803558,91.87128029689993,-0.018799728198669152,92.05989072938925,-0.014198842727140337,92.24684128110877,-0.00662790546691383,92.15411561109663,0.021039108223424252,91.9929690758803,0.9917928569089701,0.010179596818400869,0.7291682188188334,-0.9447708097106826,0.01642290413745866,0.5008402524891502,-0.8856969828960453,0.016602782632792593,0.4703655741477416,-1.0985280672150042
2000-06-28,91.89437103271484,92.79200819072011,91.73654471921941,91.9338276110887,5347700,0.0027988967927412567,0.008225327637390478,91.88282566480738,-0.01563747203872856,92.00471749716445,-0.01311180202290807,92.18275578140079,-0.01070665834150164,92.12164753879891,0.02165680743396403,91.98357878605502,0.9935214818194832,0.010183953092892006,0.943322505448487,-0.19652784871039888,0.016408092525490928,0.6480200330369807,-0.6185439539006559,0.01653393294997063,0.6052315058326687,-0.8171073191781552
2000-06-29,91.02622985839844,92.01264327255534,90.60207209031097,91.38133868749492,6345700,-0.00944716378772914,-0.013997674615984779,91.45452776160292,-0.009871582784381827,91.67855495090912,-0.02449635524682159,91.9724783408549,-0.016196936247842353,91.98472032874885,-0.005406289495452743,91.89240269770677,0.9843988208821272,0.009672087794553804,1.1458034274612194,0.5561060278519647,0.016424600243896713,0.790081309012221,-0.3780683761888331,0.015690118669829604,0.7193486560178156,-0.5792151147657648
2000-06-30,91.71678924560547,91.91407207900106,90.83888063699514,90.86847306200448,7420200,0.007586377995455473,0.0008610325013542752,91.5856585036042,0.0062769770096131605,91.6912997158079,-0.008952851344531165,91.92598941444591,-0.006619860788817045,91.95122894335593,-0.015018919596100133,91.87567760703045,0.9926174554471118,0.008950897915229461,1.3587347627130748,1.5152862550520279,0.016439664477487344,0.9257211936823935,-0.13349619505101593,0.015702173310037794,0.8398223518013818,-0.3316787396688616
2000-07-03,92.9793701171875,93.0780115028412,91.65757554942778,91.81540176647371,1436600,0.013766082327642426,0.0118070244377253,92.28251431039584,0.00715887377630775,92.12065651626777,-0.007998369427282492,92.11751317858074,0.019002694459947955,92.07974659008488,0.0034191362784381507,91.98079117942636,1.0061094170755729,0.009452184166758552,0.2771735093434638,-2.460568444089705,0.016499487111402464,0.18108654447729738,-1.4323309275514982,0.01571160982606119,0.16353096043704632,-1.7016029531536048
2000-07-05,91.30250549316406,92.58484405346131,91.14467920881978,92.40728948357399,2748200,-0.018034803009635225,0.003035121142503705,91.79250990177995,-0.0036598460381973563,91.84793950856654,-0.02239077012609947,91.96932996305043,-0.0178067231870358,91.98259145296979,-0.010263494391546502,91.91619254263948,0.9884707819283548,0.010258417046474162,0.5412506154603643,-1.4409597353240433,0.01663565698215454,0.34881684217651965,-1.120529099960707,0.015773252235023315,0.31407216315173847,-1.37970559120289
2000-07-06,92.01268005371094,92.46643040560531,91.04599452141423,91.4997448733086,5963200,0.007778259278986122,0.0032261357003362523,91.90259497774545,0.0012874457887521729,91.90285302361468,-0.014370158647499465,91.97721179771597,-0.011841236968453295,91.98635252806243,-0.009432996794942916,91.9253818294082,0.9966320791061507,0.010292175999920558,1.1624885348710496,0.5120093413433013,0.01666450839362247,0.7627900233873495,-0.40495471606304645,0.015741188362426738,0.6809695678020948,-0.6429379449953947
2000-07-07,93.49230194091797,93.92632402209547,92.32833363230557,92.6045295021458,3034800,0.016080630260343787,0.00551661968761441,92.69744845933171,0.027091884244308417,92.43266932938245,0.016952861681823972,92.2526827328436,0.0019318765767324386,92.17459620466937,0.010456142474526864,92.07461231621865,1.0121282498763884,0.010888949206655169,0.6075347278525485,-1.1625928705753208,0.016795811863564367,0.3932060911443116,-1.0141874635591677,0.015760705291904285,0.3480180109756174,-1.2995380354445043
